ShipName(String),ShipAddress(String),ShipCity(String),ShipRegion(String),ShipPostalCode(String),ShipCountry(String),CustomerID(String),Customers.CompanyName(String),Address(String),City(String),Region(String),PostalCode(String),Country(String),Salesperson(String),OrderID(Integer),OrderDate(DateTime),RequiredDate(DateTime),ShippedDate(DateTime),Shippers.CompanyName(String),ProductID(Integer),ProductName(String),UnitPrice(Float),Quantity(Integer),Discount(Float),ExtendedPrice(Float),Freight(Float)
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Janet Leverling,11011,5/9/1996 12:00:00 AM,6/6/1996 12:00:00 AM,5/13/1996 12:00:00 AM,Speedy Express,58,Escargots de Bourgogne,13.25,40,0.05,503.5,1.21
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Janet Leverling,11011,5/9/1996 12:00:00 AM,6/6/1996 12:00:00 AM,5/13/1996 12:00:00 AM,Speedy Express,71,Fløtemysost,21.5,20,0,430,1.21
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Robert King,10308,10/19/1994 12:00:00 AM,11/16/1994 12:00:00 AM,10/25/1994 12:00:00 AM,Federal Shipping,70,Outback Lager,12,5,0,60,1.61
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Robert King,10308,10/19/1994 12:00:00 AM,11/16/1994 12:00:00 AM,10/25/1994 12:00:00 AM,Federal Shipping,69,Gudbrandsdalsost,28.8,1,0,28.8,1.61
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Janet Leverling,10625,9/8/1995 12:00:00 AM,10/6/1995 12:00:00 AM,9/14/1995 12:00:00 AM,Speedy Express,14,Tofu,23.25,3,0,69.75,43.9
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Janet Leverling,10625,9/8/1995 12:00:00 AM,10/6/1995 12:00:00 AM,9/14/1995 12:00:00 AM,Speedy Express,42,Singaporean Hokkien Fried Mee,14,5,0,70,43.9
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Janet Leverling,10625,9/8/1995 12:00:00 AM,10/6/1995 12:00:00 AM,9/14/1995 12:00:00 AM,Speedy Express,60,Camembert Pierrot,34,10,0,340,43.9
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Janet Leverling,10759,12/29/1995 12:00:00 AM,1/26/1996 12:00:00 AM,1/12/1996 12:00:00 AM,Federal Shipping,32,Mascarpone Fabioli,32,10,0,320,11.99
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Margaret Peacock,10926,4/3/1996 12:00:00 AM,5/1/1996 12:00:00 AM,4/10/1996 12:00:00 AM,Federal Shipping,11,Queso Cabrales,21,2,0,42,39.92
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Margaret Peacock,10926,4/3/1996 12:00:00 AM,5/1/1996 12:00:00 AM,4/10/1996 12:00:00 AM,Federal Shipping,19,Teatime Chocolate Biscuits,9.2,7,0,64.4,39.92
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Margaret Peacock,10926,4/3/1996 12:00:00 AM,5/1/1996 12:00:00 AM,4/10/1996 12:00:00 AM,Federal Shipping,13,Konbu,6,10,0,60,39.92
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,Margaret Peacock,10926,4/3/1996 12:00:00 AM,5/1/1996 12:00:00 AM,4/10/1996 12:00:00 AM,Federal Shipping,72,Mozzarella di Giovanni,34.8,10,0,348,39.92
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10365,12/28/1994 12:00:00 AM,1/25/1995 12:00:00 AM,1/2/1995 12:00:00 AM,United Package,11,Queso Cabrales,16.8,24,0,403.2,22
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Robert King,10507,5/16/1995 12:00:00 AM,6/13/1995 12:00:00 AM,5/23/1995 12:00:00 AM,Speedy Express,43,Ipoh Coffee,46,15,0.15,586.5,47.45
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Robert King,10507,5/16/1995 12:00:00 AM,6/13/1995 12:00:00 AM,5/23/1995 12:00:00 AM,Speedy Express,48,Chocolade,12.75,15,0.15,162.56,47.45
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Margaret Peacock,10535,6/13/1995 12:00:00 AM,7/11/1995 12:00:00 AM,6/21/1995 12:00:00 AM,Speedy Express,59,Raclette Courdavault,55,15,0.1,742.5,15.64
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Margaret Peacock,10535,6/13/1995 12:00:00 AM,7/11/1995 12:00:00 AM,6/21/1995 12:00:00 AM,Speedy Express,57,Ravioli Angelo,19.5,5,0.1,87.75,15.64
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Margaret Peacock,10535,6/13/1995 12:00:00 AM,7/11/1995 12:00:00 AM,6/21/1995 12:00:00 AM,Speedy Express,40,Boston Crab Meat,18.4,10,0.1,165.6,15.64
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Margaret Peacock,10535,6/13/1995 12:00:00 AM,7/11/1995 12:00:00 AM,6/21/1995 12:00:00 AM,Speedy Express,11,Queso Cabrales,21,50,0.1,945,15.64
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Robert King,10573,7/20/1995 12:00:00 AM,8/17/1995 12:00:00 AM,7/21/1995 12:00:00 AM,Federal Shipping,53,Perth Pasties,32.8,25,0,820,84.84
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Robert King,10573,7/20/1995 12:00:00 AM,8/17/1995 12:00:00 AM,7/21/1995 12:00:00 AM,Federal Shipping,34,Sasquatch Ale,14,40,0,560,84.84
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Robert King,10573,7/20/1995 12:00:00 AM,8/17/1995 12:00:00 AM,7/21/1995 12:00:00 AM,Federal Shipping,17,Alice Mutton,39,18,0,702,84.84
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Nancy Davolio,10677,10/23/1995 12:00:00 AM,11/20/1995 12:00:00 AM,10/27/1995 12:00:00 AM,Federal Shipping,26,Gumbär Gummibärchen,31.23,30,0.15,796.36,4.03
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Nancy Davolio,10677,10/23/1995 12:00:00 AM,11/20/1995 12:00:00 AM,10/27/1995 12:00:00 AM,Federal Shipping,33,Geitost,2.5,8,0.15,17,4.03
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10682,10/26/1995 12:00:00 AM,11/23/1995 12:00:00 AM,11/1/1995 12:00:00 AM,United Package,33,Geitost,2.5,30,0,75,36.13
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10682,10/26/1995 12:00:00 AM,11/23/1995 12:00:00 AM,11/1/1995 12:00:00 AM,United Package,66,Louisiana Hot Spiced Okra,17,4,0,68,36.13
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10682,10/26/1995 12:00:00 AM,11/23/1995 12:00:00 AM,11/1/1995 12:00:00 AM,United Package,75,Rhönbräu Klosterbier,7.75,30,0,232.5,36.13
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10856,2/28/1996 12:00:00 AM,3/27/1996 12:00:00 AM,3/12/1996 12:00:00 AM,United Package,2,Chang,19,20,0,380,58.43
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Janet Leverling,10856,2/28/1996 12:00:00 AM,3/27/1996 12:00:00 AM,3/12/1996 12:00:00 AM,United Package,42,Singaporean Hokkien Fried Mee,14,20,0,280,58.43
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Michael Suyama,10355,12/16/1994 12:00:00 AM,1/13/1995 12:00:00 AM,12/21/1994 12:00:00 AM,Speedy Express,24,Guaraná Fantástica,3.6,25,0,90,41.95
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Michael Suyama,10355,12/16/1994 12:00:00 AM,1/13/1995 12:00:00 AM,12/21/1994 12:00:00 AM,Speedy Express,57,Ravioli Angelo,15.6,25,0,390,41.95
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Laura Callahan,10383,1/16/1995 12:00:00 AM,2/13/1995 12:00:00 AM,1/18/1995 12:00:00 AM,Federal Shipping,56,Gnocchi di nonna Alice,30.4,20,0,608,34.24
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Laura Callahan,10383,1/16/1995 12:00:00 AM,2/13/1995 12:00:00 AM,1/18/1995 12:00:00 AM,Federal Shipping,13,Konbu,4.8,20,0,96,34.24
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Laura Callahan,10383,1/16/1995 12:00:00 AM,2/13/1995 12:00:00 AM,1/18/1995 12:00:00 AM,Federal Shipping,50,Valkoinen suklaa,13,15,0,195,34.24
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10453,3/24/1995 12:00:00 AM,4/21/1995 12:00:00 AM,3/29/1995 12:00:00 AM,United Package,70,Outback Lager,12,25,0.1,270,25.36
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10453,3/24/1995 12:00:00 AM,4/21/1995 12:00:00 AM,3/29/1995 12:00:00 AM,United Package,48,Chocolade,10.2,15,0.1,137.7,25.36
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10558,7/5/1995 12:00:00 AM,8/2/1995 12:00:00 AM,7/11/1995 12:00:00 AM,United Package,47,Zaanse koeken,9.5,25,0,237.5,72.97
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10558,7/5/1995 12:00:00 AM,8/2/1995 12:00:00 AM,7/11/1995 12:00:00 AM,United Package,51,Manjimup Dried Apples,53,20,0,1060,72.97
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10558,7/5/1995 12:00:00 AM,8/2/1995 12:00:00 AM,7/11/1995 12:00:00 AM,United Package,52,Filo Mix,7,30,0,210,72.97
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10558,7/5/1995 12:00:00 AM,8/2/1995 12:00:00 AM,7/11/1995 12:00:00 AM,United Package,53,Perth Pasties,32.8,18,0,590.4,72.97
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10558,7/5/1995 12:00:00 AM,8/2/1995 12:00:00 AM,7/11/1995 12:00:00 AM,United Package,73,Röd Kaviar,15,3,0,45,72.97
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10707,11/16/1995 12:00:00 AM,11/30/1995 12:00:00 AM,11/23/1995 12:00:00 AM,Federal Shipping,70,Outback Lager,15,28,0.15,357,21.74
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10707,11/16/1995 12:00:00 AM,11/30/1995 12:00:00 AM,11/23/1995 12:00:00 AM,Federal Shipping,55,Pâté chinois,24,21,0,504,21.74
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10707,11/16/1995 12:00:00 AM,11/30/1995 12:00:00 AM,11/23/1995 12:00:00 AM,Federal Shipping,57,Ravioli Angelo,19.5,40,0,780,21.74
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10741,12/15/1995 12:00:00 AM,12/29/1995 12:00:00 AM,12/19/1995 12:00:00 AM,Federal Shipping,2,Chang,19,15,0.2,228,10.96
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Nancy Davolio,10743,12/18/1995 12:00:00 AM,1/15/1996 12:00:00 AM,12/22/1995 12:00:00 AM,United Package,46,Spegesild,12,28,0.05,319.2,23.72
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10768,1/8/1996 12:00:00 AM,2/5/1996 12:00:00 AM,1/15/1996 12:00:00 AM,United Package,71,Fløtemysost,21.5,12,0,258,146.32
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10768,1/8/1996 12:00:00 AM,2/5/1996 12:00:00 AM,1/15/1996 12:00:00 AM,United Package,22,Gustaf's Knäckebröd,21,4,0,84,146.32
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10768,1/8/1996 12:00:00 AM,2/5/1996 12:00:00 AM,1/15/1996 12:00:00 AM,United Package,31,Gorgonzola Telino,12.5,50,0,625,146.32
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10768,1/8/1996 12:00:00 AM,2/5/1996 12:00:00 AM,1/15/1996 12:00:00 AM,United Package,60,Camembert Pierrot,34,15,0,510,146.32
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10793,1/24/1996 12:00:00 AM,2/21/1996 12:00:00 AM,2/8/1996 12:00:00 AM,Federal Shipping,52,Filo Mix,7,8,0,56,4.52
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Janet Leverling,10793,1/24/1996 12:00:00 AM,2/21/1996 12:00:00 AM,2/8/1996 12:00:00 AM,Federal Shipping,41,Jack's New England Clam Chowder,9.65,14,0,135.1,4.52
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10864,3/4/1996 12:00:00 AM,4/1/1996 12:00:00 AM,3/11/1996 12:00:00 AM,United Package,35,Steeleye Stout,18,4,0,72,3.04
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10864,3/4/1996 12:00:00 AM,4/1/1996 12:00:00 AM,3/11/1996 12:00:00 AM,United Package,67,Laughing Lumberjack Lager,14,15,0,210,3.04
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Margaret Peacock,10920,4/2/1996 12:00:00 AM,4/30/1996 12:00:00 AM,4/8/1996 12:00:00 AM,United Package,50,Valkoinen suklaa,16.25,24,0,390,29.61
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Anne Dodsworth,10953,4/15/1996 12:00:00 AM,4/29/1996 12:00:00 AM,4/24/1996 12:00:00 AM,United Package,31,Gorgonzola Telino,12.5,50,0.05,593.75,23.72
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Anne Dodsworth,10953,4/15/1996 12:00:00 AM,4/29/1996 12:00:00 AM,4/24/1996 12:00:00 AM,United Package,20,Sir Rodney's Marmalade,81,50,0.05,3847.5,23.72
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Anne Dodsworth,11016,5/10/1996 12:00:00 AM,6/7/1996 12:00:00 AM,5/13/1996 12:00:00 AM,United Package,31,Gorgonzola Telino,12.5,15,0,187.5,33.8
Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,AROUT,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,Anne Dodsworth,11016,5/10/1996 12:00:00 AM,6/7/1996 12:00:00 AM,5/13/1996 12:00:00 AM,United Package,36,Inlagd Sill,19,16,0,304,33.8
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Laura Callahan,10278,9/12/1994 12:00:00 AM,10/10/1994 12:00:00 AM,9/16/1994 12:00:00 AM,United Package,44,Gula Malacca,15.5,16,0,248,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Laura Callahan,10278,9/12/1994 12:00:00 AM,10/10/1994 12:00:00 AM,9/16/1994 12:00:00 AM,United Package,59,Raclette Courdavault,44,15,0,660,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Laura Callahan,10278,9/12/1994 12:00:00 AM,10/10/1994 12:00:00 AM,9/16/1994 12:00:00 AM,United Package,63,Vegie-spread,35.1,8,0,280.8,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Laura Callahan,10278,9/12/1994 12:00:00 AM,10/10/1994 12:00:00 AM,9/16/1994 12:00:00 AM,United Package,73,Röd Kaviar,12,25,0,300,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Andrew Fuller,10280,9/14/1994 12:00:00 AM,10/12/1994 12:00:00 AM,10/13/1994 12:00:00 AM,Speedy Express,24,Guaraná Fantástica,3.6,12,0,43.2,8.98
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Andrew Fuller,10280,9/14/1994 12:00:00 AM,10/12/1994 12:00:00 AM,10/13/1994 12:00:00 AM,Speedy Express,75,Rhönbräu Klosterbier,6.2,30,0,186,8.98
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Andrew Fuller,10280,9/14/1994 12:00:00 AM,10/12/1994 12:00:00 AM,10/13/1994 12:00:00 AM,Speedy Express,55,Pâté chinois,19.2,20,0,384,8.98
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Janet Leverling,10384,1/16/1995 12:00:00 AM,2/13/1995 12:00:00 AM,1/20/1995 12:00:00 AM,Federal Shipping,20,Sir Rodney's Marmalade,64.8,28,0,1814.4,168.64
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Janet Leverling,10384,1/16/1995 12:00:00 AM,2/13/1995 12:00:00 AM,1/20/1995 12:00:00 AM,Federal Shipping,60,Camembert Pierrot,27.2,15,0,408,168.64
