ID(String),carat(Float),logcarat(Float),cut(String),color(String),clarity(String),depth(Float),table(Integer),price(Integer),logprice(Float),x(Float),y(Float),z(Float),volume(Float)
860,0.73,-0.31,Good,E,SI1,63.6,57,2871,7.96,5.7,5.72,3.63,118.35252
880,1,0,Fair,H,SI1,65.5,62,2873,7.96,6.14,6.07,4,149.0792
900,1,0,Fair,H,SI2,69.5,55,2875,7.96,6.17,6.1,4.26,160.33362
920,0.72,-0.33,Fair,F,VS1,56.9,69,2879,7.97,5.93,5.77,3.33,113.939613
940,0.9,-0.11,Fair,D,SI2,66.9,57,2885,7.97,6.02,5.9,3.99,141.71682
960,0.66,-0.42,Ideal,G,VVS1,61.5,56,2890,7.97,5.61,5.58,3.44,107.685072
980,0.76,-0.27,Ideal,F,SI1,61.4,56,2894,7.97,5.88,5.92,3.62,126.010752
1000,1.12,0.11,Premium,J,SI2,60.6,59,2898,7.97,6.68,6.61,4.03,177.943844
1020,0.71,-0.34,Fair,E,VS2,64.6,59,2902,7.97,5.62,5.59,3.62,113.725196
1040,0.74,-0.3,Very Good,D,VS2,62.4,57,2906,7.97,5.74,5.8,3.6,119.8512
1060,0.31,-1.17,Very Good,I,VS2,63.2,55,558,6.32,4.4,4.3,2.75,52.03
1080,0.31,-1.17,Premium,E,SI2,60.9,60,558,6.32,4.38,4.35,2.66,50.68098
1100,0.7,-0.36,Very Good,D,VS2,60.7,60,2913,7.98,5.72,5.74,3.48,114.258144
1120,0.71,-0.34,Ideal,F,VS2,61.2,56,2917,7.98,5.77,5.73,3.52,116.378592
1140,0.65,-0.43,Ideal,F,VVS2,61.3,56,2921,7.98,5.58,5.61,3.43,107.372034
1160,0.7,-0.36,Very Good,F,VS1,64.5,58,2925,7.98,5.55,5.59,3.59,111.377955
1180,0.71,-0.34,Ideal,F,VS2,62.3,57,2930,7.98,5.69,5.74,3.56,116.271736
1200,1.17,0.16,Fair,I,I1,65.4,62,2935,7.98,6.68,6.57,4.33,190.033308
1220,0.75,-0.29,Ideal,G,VS2,60.6,55,2939,7.99,5.93,5.91,3.59,125.816217
1240,0.73,-0.31,Ideal,D,SI1,61.4,56,2943,7.99,5.82,5.78,3.56,119.756976
1260,0.74,-0.3,Ideal,I,VS1,62,56,2947,7.99,5.79,5.82,3.6,121.31208
1280,0.54,-0.62,Ideal,F,VVS1,61.6,55,2951,7.99,5.27,5.28,3.25,90.4332
1300,0.72,-0.33,Ideal,D,SI1,61.9,55,2954,7.99,5.75,5.78,3.57,118.64895
1320,0.98,-0.02,Fair,F,SI2,61.6,66,2958,7.99,6.46,6.24,3.92,158.016768
1340,0.63,-0.46,Ideal,F,VVS2,62.3,56,2961,7.99,5.48,5.5,3.42,103.0788
1360,0.9,-0.11,Fair,J,VS1,65.4,60,2964,7.99,6.02,5.93,3.91,139.581526
1380,0.79,-0.24,Ideal,H,VS2,62,56,2967,8,5.91,5.93,3.67,128.619921
1400,0.32,-1.14,Ideal,G,VS1,62.3,55,559,6.33,4.39,4.41,2.74,53.046126
1420,0.7,-0.36,Good,F,VS1,63.8,58,2970,8,5.58,5.61,3.57,111.754566
1440,0.71,-0.34,Ideal,G,VS2,59.5,57,2974,8,5.81,5.8,3.46,116.59508
1460,0.7,-0.36,Ideal,E,VS2,61.7,56,2979,8,5.74,5.71,3.53,115.697162
1480,0.77,-0.26,Very Good,G,VS1,62.8,58,2986,8,5.78,5.84,3.65,123.20648
1500,0.69,-0.37,Very Good,F,VVS2,61.5,60,2993,8,5.64,5.67,3.48,111.286224
1520,0.72,-0.33,Ideal,H,SI1,61.1,56,2997,8.01,5.78,5.8,3.54,118.67496
1540,0.72,-0.33,Very Good,D,SI1,61.5,58,3001,8.01,5.74,5.78,3.54,117.447288
1560,0.61,-0.49,Ideal,E,VS1,61.3,54,3004,8.01,5.53,5.5,3.38,102.8027
1580,0.71,-0.34,Ideal,G,SI1,61.6,57,3007,8.01,5.73,5.76,3.54,116.836992
1600,1.2,0.18,Fair,I,I1,66.2,55,3011,8.01,6.61,6.51,4.34,186.754974
1620,0.81,-0.21,Ideal,E,SI2,60.1,57,3013,8.01,6.07,6.1,3.66,135.51882
1640,1.12,0.11,Premium,G,I1,60.3,60,3017,8.01,6.75,6.69,4.05,182.887875
1660,0.9,-0.11,Good,H,SI2,63.1,55,3024,8.01,6.08,6.13,3.85,143.49104
1680,0.7,-0.36,Very Good,F,VVS2,58.5,60,3028,8.02,5.82,5.94,3.44,118.923552
1700,0.72,-0.33,Very Good,E,VS2,63.8,57,3035,8.02,5.66,5.69,3.62,116.583548
1720,0.32,-1.14,Good,H,VS1,63.1,57,561,6.33,4.34,4.37,2.75,52.15595
1740,0.32,-1.14,Ideal,H,VS1,60.2,56,561,6.33,4.44,4.49,2.69,53.626764
1760,0.71,-0.34,Very Good,F,VS1,61.2,57,3045,8.02,5.73,5.77,3.52,116.378592
1780,0.72,-0.33,Premium,D,SI1,60.5,57,3048,8.02,5.89,5.85,3.55,122.320575
1800,0.71,-0.34,Ideal,E,VS2,60.9,56,3053,8.02,5.77,5.83,3.53,118.746023
1820,0.57,-0.56,Ideal,F,VVS1,61.1,55,3057,8.03,5.36,5.44,3.3,96.22272
1840,0.72,-0.33,Ideal,D,SI1,61.5,56.5,3062,8.03,5.76,5.79,3.55,118.39392
1860,0.8,-0.22,Ideal,F,SI2,62.5,56,3066,8.03,5.94,5.99,3.73,132.715638
1880,1.03,0.03,Premium,G,I1,60.8,57,3073,8.03,6.55,6.51,3.97,169.282785
1900,0.72,-0.33,Premium,E,VS2,62.5,59,3078,8.03,5.7,5.73,3.57,116.59977
1920,0.6,-0.51,Ideal,E,VVS1,62,53.7,3082,8.03,5.4,5.44,3.36,98.70336
1940,0.9,-0.11,Premium,E,SI2,60.7,61,3084,8.03,6.22,6.16,3.76,144.065152
1960,1.01,0.01,Very Good,J,SI2,63.3,53,3088,8.04,6.35,6.31,4.01,160.674685
1980,0.7,-0.36,Ideal,D,VS2,62.3,55,3092,8.04,5.67,5.7,3.54,114.40926
2000,0.72,-0.33,Ideal,D,VS2,61.8,57,3099,8.04,5.76,5.73,3.55,117.16704
2020,0.78,-0.25,Ideal,I,VS1,61.9,56,3105,8.04,5.91,5.94,3.67,128.836818
2040,0.7,-0.36,Good,D,VS1,60.4,63,3107,8.04,5.73,5.76,3.47,114.526656
2060,0.32,-1.14,Ideal,G,VS2,60.3,57,561,6.33,4.43,4.46,2.68,52.950904
2080,0.7,-0.36,Premium,F,VVS1,61.9,59,3109,8.04,5.67,5.6,3.49,110.81448
2100,0.93,-0.07,Ideal,G,SI2,61,54,3114,8.04,6.35,6.32,3.87,155.31084
2120,0.91,-0.09,Fair,E,SI2,64.5,60,3119,8.05,6.04,5.96,3.87,139.313808
2140,0.72,-0.33,Ideal,H,VVS1,61.4,56,3124,8.05,5.79,5.77,3.55,118.599465
2160,0.97,-0.03,Good,J,VS2,64.3,58,3129,8.05,6.25,6.22,4.01,155.88875
2180,0.75,-0.29,Ideal,E,VS2,60.2,57,3136,8.05,5.93,5.9,3.56,124.55372
2200,0.54,-0.62,Ideal,D,VVS1,61.4,58,3139,8.05,5.28,5.25,3.23,89.5356
2220,0.84,-0.17,Very Good,D,SI2,63.6,57,3145,8.05,5.95,6,3.8,135.66
2240,0.78,-0.25,Ideal,E,SI1,62.1,58,3146,8.05,5.86,5.9,3.65,126.1951
2260,0.9,-0.11,Good,D,SI2,63.9,60,3153,8.06,6.07,6.11,3.89,144.271153
2280,0.82,-0.2,Premium,D,SI2,61.7,56,3159,8.06,6.01,5.99,3.7,133.19963
2300,0.9,-0.11,Good,G,SI2,63.3,59,3162,8.06,6.07,6.12,3.86,143.392824
2320,0.85,-0.16,Ideal,E,SI1,61.8,54,3167,8.06,6.1,6.14,3.78,141.57612
2340,0.74,-0.3,Ideal,F,VS2,62.1,56,3171,8.06,5.79,5.83,3.61,121.858077
2360,0.7,-0.36,Ideal,H,VVS1,60.2,57,3175,8.06,5.78,5.82,3.49,117.402204
2380,0.32,-1.14,Premium,G,VS2,60.8,59,561,6.33,4.41,4.44,2.69,52.671276
2400,0.31,-1.17,Ideal,G,VS2,61.7,55,562,6.33,4.37,4.39,2.7,51.79761
2420,0.91,-0.09,Fair,H,SI1,64.8,57,3180,8.06,6.12,6.07,3.95,146.73618
2440,0.7,-0.36,Ideal,H,VS1,61,56,3185,8.07,5.75,5.79,3.51,116.856675
2460,0.92,-0.08,Premium,I,SI1,62.9,60,3190,8.07,6.18,6.13,3.87,146.608758
2480,0.9,-0.11,Good,J,VVS2,57.4,61,3193,8.07,6.42,6.37,3.67,150.086118
2500,0.73,-0.31,Ideal,E,VS2,62.2,59,3198,8.07,5.74,5.77,3.58,118.568884
2520,0.76,-0.27,Ideal,F,VS2,61,55,3201,8.07,5.92,5.89,3.6,125.52768
2540,0.72,-0.33,Premium,D,VS2,60.6,57,3205,8.07,5.82,5.79,3.52,118.616256
2560,0.8,-0.22,Ideal,D,SI2,61.9,54,3210,8.07,5.95,6,3.7,132.09
2580,0.78,-0.25,Ideal,D,SI1,61.1,57,3214,8.08,5.95,5.97,3.64,129.29826
2600,0.77,-0.26,Ideal,E,SI1,61.6,57,3218,8.08,5.91,5.87,3.63,125.930871
2620,0.9,-0.11,Premium,G,SI2,61.3,55,3226,8.08,6.18,6.12,3.77,142.587432
2640,0.91,-0.09,Good,H,SI1,63.7,60,3229,8.08,6.16,6.09,3.9,146.30616
2660,0.8,-0.22,Very Good,H,VS2,63.1,57,3235,8.08,5.87,5.92,3.72,129.271488
2680,0.77,-0.26,Very Good,G,VS1,62.3,58,3240,8.08,5.82,5.86,3.64,124.142928
2700,0.9,-0.11,Fair,I,VS2,65.4,60,3246,8.09,6.03,5.96,3.93,141.239484
2720,0.26,-1.35,Good,D,VVS2,63.6,56,564,6.34,4.06,4.09,2.59,43.007986
2740,0.76,-0.27,Ideal,D,VS2,63,56,3248,8.09,5.83,5.79,3.66,123.545862
2760,0.93,-0.07,Premium,J,VS2,62.3,60,3250,8.09,6.3,6.23,3.9,153.0711
2780,0.74,-0.3,Ideal,H,VS1,61,55,3254,8.09,5.86,5.88,3.58,123.355344
2800,0.7,-0.36,Ideal,F,VS1,61.5,55,3261,8.09,5.73,5.75,3.53,116.304675
2820,1,0,Fair,F,SI2,65.1,55,3265,8.09,6.26,6.23,4.07,158.729186
2840,0.9,-0.11,Good,G,SI2,58.4,55,3269,8.09,6.34,6.39,3.72,150.706872
2860,0.72,-0.33,Ideal,H,VS1,61.5,55,3274,8.09,5.77,5.85,3.56,120.16602
2880,0.92,-0.08,Good,D,SI2,57.8,63,3277,8.09,6.4,6.36,3.69,150.19776
2900,0.92,-0.08,Premium,F,SI2,58.9,59,3282,8.1,6.38,6.35,3.75,151.92375
2920,0.74,-0.3,Ideal,H,VVS1,62.5,55,3287,8.1,5.76,5.79,3.61,120.394944
2940,0.9,-0.11,Premium,I,VS2,62.6,62,3292,8.1,6.13,6.04,3.81,141.066012
2960,0.7,-0.36,Fair,D,VVS2,58.5,62,3296,8.1,5.72,5.81,3.37,111.995884
2980,1.05,0.05,Ideal,G,SI2,59.6,57,3299,8.1,6.58,6.53,3.91,168.002534
3000,0.9,-0.11,Good,G,SI2,63.8,56,3303,8.1,6.13,6.16,3.92,148.022336
3020,0.71,-0.34,Ideal,G,VVS2,61.3,56,3307,8.1,5.75,5.77,3.53,117.116575
3040,0.3,-1.2,Very Good,G,VS1,60.2,62,565,6.34,4.3,4.31,2.59,48.00047
3060,0.34,-1.08,Premium,F,SI1,59.8,58,566,6.34,4.53,4.57,2.72,56.309712
3080,0.9,-0.11,Premium,D,SI2,61,61,3312,8.11,6.17,6.15,3.76,142.67508
3100,0.52,-0.65,Ideal,D,VVS1,60.9,56,3321,8.11,5.2,5.24,3.18,86.64864
3120,0.7,-0.36,Ideal,H,VVS2,61.8,55,3325,8.11,5.69,5.74,3.53,115.291918
3140,0.72,-0.33,Ideal,F,VS1,62.5,54,3330,8.11,5.73,5.76,3.59,118.487232
3160,0.72,-0.33,Ideal,H,VVS2,61.6,56,3334,8.11,5.75,5.77,3.55,117.780125
3180,0.91,-0.09,Very Good,I,VS2,63,58,3340,8.11,6.07,6.15,3.85,143.722425
3200,0.92,-0.08,Very Good,I,SI1,63.7,58,3345,8.12,6.12,6.18,3.92,148.260672
3220,0.77,-0.26,Very Good,F,VS1,62.8,58,3350,8.12,5.79,5.86,3.66,124.181604
3240,0.81,-0.21,Ideal,D,SI1,61.9,57,3353,8.12,6.01,5.97,3.71,133.113687
3260,0.7,-0.36,Very Good,E,VS1,60.7,57,3358,8.12,5.72,5.75,3.48,114.4572
3280,0.78,-0.25,Ideal,F,SI1,61.3,56,3362,8.12,5.92,6,3.64,129.2928
3300,0.9,-0.11,Very Good,F,SI2,62.4,57,3368,8.12,6.11,6.16,3.83,144.152008
3320,0.71,-0.34,Ideal,D,VS2,62.4,56,3372,8.12,5.74,5.7,3.57,116.80326
3340,0.7,-0.36,Premium,E,VVS2,60.6,60,3377,8.12,5.74,5.72,3.47,113.929816
3360,0.6,-0.51,Ideal,D,VVS2,61.9,55,3382,8.13,5.41,5.45,3.36,99.06792
3380,0.31,-1.17,Premium,I,SI1,61.3,58,408,6.01,4.34,4.37,2.67,50.638686
3400,0.3,-1.2,Very Good,I,VS1,61.8,63,567,6.34,4.29,4.26,2.64,48.247056
3420,0.36,-1.02,Premium,H,VS2,60.9,59,568,6.34,4.58,4.62,2.8,59.24688
3440,0.9,-0.11,Very Good,H,SI1,62.3,63,3387,8.13,6.13,6.06,3.8,141.16164
3460,0.9,-0.11,Good,E,SI1,63.8,61,3391,8.13,6.05,6.08,3.87,142.35408
3480,0.73,-0.31,Ideal,G,VVS2,62.1,56,3396,8.13,5.78,5.81,3.59,120.558662
3500,0.88,-0.13,Premium,G,VS2,61.1,58,3400,8.13,6.19,6.15,3.77,143.518245
3520,0.91,-0.09,Very Good,F,SI2,63,59,3405,8.13,6.12,6.17,3.87,146.132748
3540,0.73,-0.31,Ideal,G,VS1,60.7,57,3411,8.13,5.85,5.81,3.54,120.31929
3560,0.72,-0.33,Ideal,H,VVS2,61.8,55,3417,8.14,5.75,5.77,3.56,118.1119
3580,0.93,-0.07,Very Good,F,SI2,63.5,58,3420,8.14,6.14,6.05,3.87,143.75889
3600,0.7,-0.36,Premium,D,VS1,61.2,60,3425,8.14,5.69,5.71,3.49,113.389751
3620,0.78,-0.25,Very Good,F,VS2,62.2,58,3429,8.14,5.86,5.9,3.66,126.54084
3640,0.75,-0.29,Ideal,E,VS2,61.9,57,3435,8.14,5.81,5.83,3.6,121.94028
3660,0.77,-0.26,Ideal,D,VS2,61.3,56,3442,8.14,5.87,5.9,3.61,125.02513
3680,0.78,-0.25,Premium,F,VS1,61.5,58,3446,8.14,5.93,5.98,3.66,129.788724
3700,0.9,-0.11,Good,E,SI1,63.8,56,3449,8.15,6.17,6.09,3.91,146.919423
3720,0.74,-0.3,Ideal,F,VS2,61.9,57,3454,8.15,5.79,5.81,3.59,120.767241
3740,0.41,-0.89,Good,G,SI2,63.7,55,570,6.35,4.7,4.75,3.01,67.19825
3760,0.86,-0.15,Ideal,E,SI1,62.3,54,3456,8.15,6.13,6.07,3.8,141.39458
3780,1.06,0.06,Ideal,F,SI2,62.7,56,3461,8.15,6.52,6.47,4.07,171.690508
3800,1,0,Good,I,SI2,63.9,60,3465,8.15,6.26,6.3,4.01,158.14638
3820,1.11,0.1,Premium,I,SI2,62.5,56,3469,8.15,6.63,6.55,4.12,178.91718
3840,0.9,-0.11,Fair,D,SI2,64.9,57,3473,8.15,6.03,5.98,3.9,140.63166
3860,0.72,-0.33,Ideal,G,VS1,60.3,57,3478,8.15,5.82,5.86,3.52,120.050304
3880,0.9,-0.11,Very Good,I,VS1,63.2,57,3484,8.16,6.1,6.05,3.84,141.7152
3900,0.92,-0.08,Ideal,J,VS1,62,55,3489,8.16,6.24,6.27,3.88,151.804224
3920,1.02,0.02,Premium,G,SI2,61.8,58,3496,8.16,6.47,6.4,3.98,164.80384
3940,0.9,-0.11,Fair,H,VS1,65.9,60,3500,8.16,5.99,5.96,3.94,140.659576
3960,0.83,-0.19,Premium,E,SI1,58.4,59,3506,8.16,6.22,6.18,3.62,139.151352
3980,1,0,Premium,H,SI1,62.2,51,3511,8.16,6.47,6.4,4,165.632
4000,0.74,-0.3,Ideal,D,SI1,61.8,56,3517,8.17,5.84,5.88,3.62,124.307904
4020,0.9,-0.11,Ideal,G,SI2,62.5,56,3521,8.17,6.15,6.2,3.86,147.1818
4040,1,0,Good,I,SI2,63.9,60,3528,8.17,6.3,6.26,4.01,158.14638
4060,0.32,-1.14,Ideal,G,SI1,62.6,55,571,6.35,4.41,4.38,2.75,53.11845
4080,0.31,-1.17,Good,D,SI1,63.4,58,571,6.35,4.32,4.35,2.75,51.678
4100,0.7,-0.36,Ideal,D,VS1,62.2,56,3535,8.17,5.69,5.72,3.55,115.54114
4120,0.9,-0.11,Very Good,G,SI2,62.4,55,3539,8.17,6.13,6.17,3.84,145.236864
4140,0.81,-0.21,Ideal,G,VS1,62.3,57,3544,8.17,5.99,5.95,3.72,132.58266
4160,1.09,0.09,Ideal,G,I1,61,56,3549,8.17,6.62,6.66,4.05,178.56126
4180,0.9,-0.11,Very Good,F,SI2,63.4,58,3556,8.18,6.08,6.01,3.83,139.951264
4200,1.01,0.01,Very Good,F,SI2,63.4,60,3563,8.18,6.33,6.26,3.99,158.106942
4220,0.9,-0.11,Very Good,F,SI2,62.4,58,3569,8.18,6.15,6.19,3.85,146.563725
4240,0.93,-0.07,Very Good,J,VS2,62.8,56,3576,8.18,6.14,6.22,3.88,148.180304
4260,0.9,-0.11,Premium,I,VS1,62.2,58,3580,8.18,6.18,6.13,3.83,145.093422
4280,1,0,Good,H,SI2,63.9,55,3584,8.18,6.41,6.34,4.07,165.402358
4300,0.74,-0.3,Ideal,F,VS1,61.9,54,3590,8.19,5.78,5.82,3.59,120.766164
4320,0.9,-0.11,Good,E,SI2,65.8,60,3595,8.19,5.94,5.97,3.92,139.010256
4340,0.9,-0.11,Good,H,VS2,64,57,3601,8.19,6.11,6.14,3.92,147.060368
4360,0.71,-0.34,Premium,F,VVS1,60.9,58,3604,8.19,5.76,5.8,3.52,117.59616
4380,0.9,-0.11,Premium,E,SI1,62.4,57,3609,8.19,6.19,6.14,3.85,146.32541
4400,0.31,-1.17,Very Good,D,SI1,60.2,56,571,6.35,4.37,4.4,2.64,50.76192
4420,0.71,-0.34,Very Good,F,VVS2,62,56,3612,8.19,5.71,5.74,3.55,116.35267
4440,0.73,-0.31,Good,F,VVS2,59.5,61,3616,8.19,5.8,5.83,3.46,116.99644
4460,0.91,-0.09,Premium,I,VS1,59.5,62,3620,8.19,6.3,6.24,3.73,146.63376
4480,0.81,-0.21,Ideal,F,VS2,61.8,55,3624,8.2,5.96,5.92,3.67,129.489344
4500,0.9,-0.11,Premium,H,SI1,61.9,58,3629,8.2,6.2,6.15,3.82,145.6566
4520,1,0,Premium,G,SI1,60.1,61,3634,8.2,6.44,6.4,3.86,159.09376
4540,1,0,Good,H,SI2,64.1,61,3640,8.2,6.36,6.27,4.05,161.50266
4560,0.9,-0.11,Very Good,I,VS1,62.2,58,3644,8.2,6.13,6.18,3.83,145.093422
4580,0.92,-0.08,Premium,G,SI2,62.9,58,3650,8.2,6.21,6.15,3.89,148.564935
4600,1.02,0.02,Ideal,I,SI1,62.9,57,3656,8.2,6.41,6.37,4.02,164.143434
4620,0.87,-0.14,Very Good,D,SI1,60.2,60,3664,8.21,6.12,6.17,3.7,139.71348
4640,0.73,-0.31,Ideal,G,VVS1,61.9,57,3669,8.21,5.76,5.8,3.58,119.60064
4660,1.17,0.16,Premium,H,I1,62.8,58,3669,8.21,6.71,6.69,4.21,188.986479
4680,0.8,-0.22,Very Good,G,VS1,62.7,56,3673,8.21,5.9,5.94,3.71,130.02066
4700,0.9,-0.11,Ideal,J,IF,62.2,57,3677,8.21,6.17,6.14,3.83,145.094954
4720,0.24,-1.43,Ideal,F,VS1,61.8,54,572,6.35,3.99,4.03,2.48,39.877656
4740,0.3,-1.2,Ideal,F,VS2,61.7,58,573,6.35,4.28,4.31,2.65,48.88402
4760,0.81,-0.21,Very Good,F,VS1,62.7,56,3689,8.21,5.92,5.98,3.73,132.047968
4780,1.23,0.21,Fair,E,I1,67.4,56,3692,8.21,6.76,6.56,4.49,199.111744
4800,0.92,-0.08,Ideal,G,SI2,63,57,3697,8.22,6.16,6.13,3.87,146.134296
4820,0.91,-0.09,Very Good,I,SI1,62.8,57,3703,8.22,6.09,6.18,3.85,144.89937
4840,0.9,-0.11,Very Good,I,VS2,59.9,58,3709,8.22,6.17,6.22,3.71,142.380154
4860,1.16,0.15,Premium,D,I1,61.8,59,3711,8.22,6.78,6.74,4.18,191.014296
4880,0.9,-0.11,Very Good,E,SI2,62.2,54,3715,8.22,6.13,6.21,3.84,146.178432
4900,1.01,0.01,Premium,J,VS2,61,61,3722,8.22,6.28,6.22,3.81,148.824696
4920,0.9,-0.11,Fair,H,VS2,64.6,54,3725,8.22,6.09,6.14,3.95,147.70077
4940,1.01,0.01,Ideal,J,SI2,61.6,55,3732,8.22,6.45,6.5,3.99,167.28075
4960,0.91,-0.09,Very Good,H,SI1,62.2,60,3734,8.23,6.16,6.22,3.85,147.51352
4980,1.01,0.01,Good,E,SI2,63.9,58,3737,8.23,6.37,6.31,4.05,162.788535
5000,1.05,0.05,Very Good,I,SI2,62.3,59,3742,8.23,6.42,6.46,4.01,166.307532
5020,1.13,0.12,Premium,G,I1,61.2,58,3746,8.23,6.77,6.66,4.11,185.312502
5040,1.08,0.08,Premium,I,SI2,60.1,59,3750,8.23,6.75,6.69,4.04,182.4363
5060,0.34,-1.08,Premium,G,SI2,62.8,58,574,6.35,4.46,4.43,2.79,55.124262
5080,0.92,-0.08,Premium,G,SI1,61.5,60,3751,8.23,6.26,6.19,3.83,148.410202
5100,0.81,-0.21,Ideal,F,VS2,61.7,57,3756,8.23,5.97,6.02,3.7,132.97578
5120,0.72,-0.33,Very Good,F,VVS1,62.1,55,3762,8.23,5.72,5.78,3.57,118.029912
5140,1,0,Fair,E,SI2,69,56,3763,8.23,6.01,5.94,4.12,147.081528
5160,0.9,-0.11,Good,F,SI2,58,57,3770,8.23,6.34,6.41,3.7,150.36578
5180,0.9,-0.11,Premium,G,SI1,60.6,61,3774,8.24,6.21,6.16,3.75,143.451
5200,0.9,-0.11,Good,F,SI1,62.9,57,3780,8.24,6.08,6.13,3.84,143.118336
5220,0.91,-0.09,Good,D,SI2,63.8,58,3781,8.24,6.09,6.04,3.87,142.352532
5240,0.92,-0.08,Good,F,SI2,63.7,64,3787,8.24,6.13,6.08,3.89,144.981856
5260,0.8,-0.22,Ideal,F,VS1,61.2,56,3793,8.24,6.01,5.98,3.67,131.899066
5280,0.9,-0.11,Very Good,D,SI2,62.5,58,3798,8.24,6.12,6.16,3.84,144.764928
5300,1.01,0.01,Fair,E,SI2,60,60,3801,8.24,6.48,6.38,3.86,159.581664
5320,0.9,-0.11,Good,D,SI2,62.3,58,3806,8.24,6.05,6.27,3.84,145.66464
5340,1,0,Ideal,I,SI2,60.9,57,3811,8.25,6.43,6.47,3.93,163.496253
